bats,height,person,source,thorws,throws,weight
R,70.0,Atkins_Arnold_Truman,data/nemec/Nemec,,R,185.0
R,69.0,Auais_Zacarias,data/nemec/Nemec,,R,178.0
R,68.5,Aubin_Yves,data/nemec/Nemec,,R,170.0
R,68.0,Auchenbach_Warren_Robert,data/nemec/Nemec,,R,162.0
R,,Aug_Frederick_Emil,data/nemec/Nemec,,R,
R,72.5,Auger_Thomas_Oscar,data/nemec/Nemec,,R,190.0
R,,August_Joseph_Samuel,data/nemec/Nemec,,R,
L,72.0,Austin_Alvin_Chester,data/nemec/Nemec,,R,165.0
R,74.0,Austin_Ervin_Lewis,data/nemec/Nemec,,R,190.0
L,72.0,Austry_Mark_Stanley,data/nemec/Nemec,,L,195.0
L,,Avila_Thomas_V,data/nemec/Nemec,,L,
R,71.0,Ayala_Maurice_Pierre,data/nemec/Nemec,,R,165.0
L,73.0,Azocar_Oscar_Gregorio,data/nemec/Nemec,,L,170.0
