caliber,club,date,height,league,meta,person,place,position,source,throws,type,weight,first,given,last,matrilineal,nick,suffix
,Winston-Salem,1915,,North Carolina State League,,data/JZHHNHZ,,C,data/morris/1915NorthCarolinaState/WinstonSalemJournal/4,,player,,,,Hass,,,
,Portsmouth,1915,,Virginia League,,data/JZHHNHZ,,C,data/morris/1915NorthCarolinaState/WinstonSalemJournal/4,,player,,,,Hass,,,
,Hastings,1912,,Nebraska State League,,data/MRGLWDK,,,data/blau/blau-20171001,,player,,Frank,,Hassler,,,
,Jackson,1911,,Southern Michigan League,,data/BWWCMRZ,,,data/blau/blau-20161225,,player,,Arthur,,Hauger,,,
,Toledo,1912,,American Association,,data/BWWCMRZ,,,data/blau/blau-20161225,,player,,Arthur,,Hauger,,,
,Moose Jaw,1920,,Western Canada League,,data/BWWCMRZ,,,data/blau/blau-20161225,,player,,Arthur,,Hauger,,,
,Springfield,1920,,Western Association,,data/MJNPCRF,,,data/blau/blau-20170625,,player,,George,,Hauser,,Bunny,
,Drumright,1921,,Western Association,,data/MJNPCRF,,,data/blau/blau-20170625,,player,,George,,Hauser,,Bunny,
,Springfield,1922,,Western Association,,data/MJNPCRF,,,data/blau/blau-20170625,,player,,George,,Hauser,,Bunny,
,Arkansas City,1925,,Southwestern League,,data/MJNPCRF,,,data/blau/blau-20170625,,player,,George,,Hauser,,Bunny,
,Olean,1943,,Pennsylvania-Ontario-New York League,,data/HGTYBZZ,,,data/blau/blau-20170122,,player,,Elton,Howard Elton,Hausey,,,
,Philadelphia,1915,,American League,,data/PHMRRYM,,C,data/morris/1915NorthCarolinaState/CharlotteObserver/28,,player,,,,Havener,,,
,Charlotte,1915,,North Carolina State League,,data/PHMRRYM,,C,data/morris/1915NorthCarolinaState/CharlotteObserver/28,,player,,,,Havener,,,
,Akron,1915,,Buckeye League,,data/HVZVYPQ,,P,data/morris/1915Buckeye/CantonEveningRepository/18,,player,,,,Hawk,,,
,akron,1915,,Buckeye League,,data/BGRHBVF,,P,data/morris/1915Buckeye/AkronEveningTimes/7,,player,,Elmer,,Hawk [Hook],,,
,Columbus,1914,,South Atlantic League,,data/BBPQKPT,,,data/morris/1915SouthAtlantic/AugustaChronicle/3,,player,,Jack,,Hawkins,,,
,Augusta,1915,,South Atlantic League,,data/BBPQKPT,,LF,data/morris/1915SouthAtlantic/AugustaChronicle/3,,player,,Jack,,Hawkins,,,
,Jacksonville,1915,,South Atlantic League,,data/KWMYKMV,,P,data/morris/1915SouthAtlantic/ColumbiaRecord/29,,player,,,,Hawkins,,,
,Beardstown/Jacksonville,1910,,Illinois-Missouri League,,data/GPVVTNX,,,data/blau/blau-20170122,,player,,Harry,,Hay,,,
,Asheville,1911,,Appalachian League,,data/CQGFVQC,,,data/blau/blau-20170625,,player,,Jimmie,,Hayes,,,
,Ogden,1913,,Union Association,,data/KGSRSDT,,,data/blau/blau-20170122,,player,,Johnny,,Hayes,,,
,El Paso,1915,,Rio Grande Association,,data/KKBRKGW,,OF,data/morris/1915RioGrandeValley/ElPasoHerald/22,,player,,Johnny,,Hayes,,,
,El Paso,1915,,Rio Grande Association,,data/ZRNXNNJ,,OF,data/morris/1915RioGrandeValley/ElPasoHerald/55,,player,,Johnny,,Hayes,,,
,Sioux Falls,1920,,South Dakota League,,data/YDFJPCZ,,,data/blau/blau-20170219,,player,,Johnny,,Hayes,,,
,Spartanburg,1922,,South Atlantic League,,data/TDGVFRS,,,data/blau/blau-20171030,,player,,,,Hayes,,,
,Flint,1920,,Michigan-Ontario League,,data/MTFXBSN,,,data/blau/blau-20170219,,player,,Bill,,Hayford,,,
,Miami,1953,,Florida International League,,data/SFWPDSK,,,data/blau/blau-20170122,,player,,Danny,,Hayling,,,
,Durham,1924,,Piedmont League,,data/JVDLFZX,,,data/blau/blau-20170219,,player,,Orvie,,Hayworth,,,
,Durham,1925,,Piedmont League,,data/JVDLFZX,,,data/blau/blau-20170219,,player,,Orvie,,Hayworth,,,
,Omaha,1919,,Western League,,data/PQJPFHL,,,data/blau/blau-20170219,,player,,Eddie,,Hazen,,,
,Springfield,1922,,Western Association,,data/PQJPFHL,,,data/blau/blau-20170219,,player,,Eddie,,Hazen,,,
,Asheville,1924,,South Atlantic League,,data/RMFBCRB,,,data/blau/blau-20170731,,player,,Eddie,,Hazen,,,
,Durham,1925,,Piedmont League,,data/PQJPFHL,,,data/blau/blau-20170219,,player,,Eddie,,Hazen,,,
,Seattle,1915,,Northwestern League,,data/HYTKFYG,,,data/blau/blau-20170521,,player,,Francis,,Healey,,,
,Great Falls,1916,,Northwestern League,,data/HYTKFYG,,,data/blau/blau-20170521,,player,,Francis,,Healey,,,
,Seattle,1916,,Northwestern League,,data/HYTKFYG,,,data/blau/blau-20170521,,player,,Francis,,Healey,,,
,Nazareth,1949,,North Atlantic League,,data/MQBXGCK,,,data/blau/blau-20170122,,manager,,Charley,Charles,Heath,,,
,Selma,1927,,Southeastern League,,data/TSJMDMX,,,data/blau/blau-20170521,,player,,Harley,,Heath,,,
,Tyler,1928,,East Texas League,,data/TSJMDMX,,,data/blau/blau-20170521,,player,,Harley,,Heath,,,
,Rocky Mount,1920,,Virginia League,,data/LPXDWRF,,,data/blau/blau-20161225,,player,,Kirk,,Heatwole,,,
,Martinsburg,1922,,Blue Ridge League,,data/LPXDWRF,,,data/blau/blau-20161225,,player,,Kirk,,Heatwole,,,
,Twins Falls,1926,,Utah-Idaho League,,data/YRWYCMP,,,data/blau/blau-20171030,,player,,James,,Hefner,,,
,Winnipeg,1921,,Western Canada League,,data/ZLFGFYH,,,data/blau/blau-20170521,,player,,Tom,,Heilberger,,,
,Winnipeg,1921,,Western Canada League,,data/WJCSNXP,,,data/blau/blau-20170827,,player,,Tom,,Heilberger,,,
,Winnipeg,1921,,Western Canada League,,data/CTLRMVY,,,data/blau/blau-20170205,,player,,Tommy,,Heilberger,,,
,Chattanooga,1909,,South Atlantic League,,data/FLRPFQD,,,data/blau/blau-20170122,,player,,Ross,,Helms,,,
,Hornell,1915,,Interstate League,,data/WHNYSNX,,,data/blau/blau-20180331,,player,,Simon,,Hemlock,,,
,Cairo,1913,,Kentucky-Illinois-Tennessee League,,data/TXJSBSC,,,data/blau/blau-20170122,,player,,Sam,Dynamite Sam,Hendee,,,
,Mason City,1916,,Central Association,,data/YJKCQFG,,,data/morris/General/1916DailyGateCity/1,,player,,Sam,,Hendee,,,
,Mason City,1916,,Central Association,,data/TXJSBSC,,,data/blau/blau-20170122,,player,,Sam,Dynamite Sam,Hendee,,,
,Duluth,1916,,Northern League,,data/TXJSBSC,,,data/blau/blau-20170122,,player,,Sam,Dynamite Sam,Hendee,,,
,Mason City,1917,,Central Association,,data/TXJSBSC,,,data/blau/blau-20170122,,player,,Sam,Dynamite Sam,Hendee,,,
,Wichita,1915,,Western League,,data/RNSJVLG,,,data/blau/blau-20170122,,player,,,,Hendee,,,
,Battle Creek,1910,,Southern Michigan League,,data/XDVCVLN,,,data/blau/blau-20170521,,player,,Curley,William B.,Henderson,,,
,Adrian,1911,,Southern Michigan League,,data/XDVCVLN,,,data/blau/blau-20170521,,player,,Curley,William B.,Henderson,,,
,Binghamton,1911,,New York State League,,data/RFYRCPJ,,,data/blau/blau-20170319,,player,,Ed,,Henderson,,,
,Johnstown,1912,,Tri-State League,,data/RFYRCPJ,,,data/blau/blau-20170319,,player,,Ed,,Henderson,,,
,Kingsport,1923,,Appalachian League,,data/WGVSDZD,,,data/blau/blau-20170731,,player,,Forrest,,Henderson,,Hack,
,Kingsport,1924,,Appalachian League,,data/WGVSDZD,,,data/blau/blau-20170731,,player,,Forrest,,Henderson,,Hack,
,Greenville,1924,,South Atlantic League,,data/WGVSDZD,,,data/blau/blau-20170731,,player,,Forrest,,Henderson,,Hack,
,Knoxville,1926,,South Atlantic League,,data/WGVSDZD,,,data/blau/blau-20170731,,player,,Forrest,,Henderson,,Hack,
,Albany,1927,,Southeastern League,,data/WGVSDZD,,,data/blau/blau-20170731,,player,,Forrest,,Henderson,,Hack,
,Bay City,1909,,Southern Michigan League,,data/YGVSBLM,,,data/blau/blau-20170115,,player,,George,,Henderson,,,
,Brownsville,1911,,Southwest Texas League,,data/CDMNMBY,,,data/blau/blau-20170521,,player,,,,Henderson,,,
,Victoria,1911,,Southwest Texas League,,data/CDMNMBY,,,data/blau/blau-20170521,,player,,,,Henderson,,,
,Newark,1915,,Buckeye League,,data/VDPQKXG,,P,data/morris/1915Buckeye/NewarkDailyAdvocate/70,,player,,,,Hendrickson,,,
,Yazoo City,1911,,Cotton States League,,data/RQQXTMK,,,data/blau/blau-20170115,,player,,Tim,,Hendryx,,,
,Battle Creek,1913,,Southern Michigan League,,data/JVRQWVQ,,,data/blau/blau-20170521,,player,,Harry,,Henges,,Stoney,
,Battle Creek,1914,,Southern Michigan League,,data/JVRQWVQ,,,data/blau/blau-20170521,,player,,Harry,,Henges,,Stoney,
,Kalamazoo,1914,,Southern Michigan League,,data/JVRQWVQ,,,data/blau/blau-20170521,,player,,Harry,,Henges,,Stoney,
,Saginaw,1914,,Southern Michigan League,,data/JVRQWVQ,,,data/blau/blau-20170521,,player,,Harry,,Henges,,Stoney,
,Toledo,1914,,Southern Michigan League,,data/JVRQWVQ,,,data/blau/blau-20170521,,player,,Harry,,Henges,,Stoney,
,Frankfort,1915,,Ohio State League,,data/JVRQWVQ,,,data/blau/blau-20170521,,player,,Harry,,Henges,,Stoney,
,Frankfort,1915,,Ohio State League,,data/QYLBHWL,,,data/blau/blau-20170115,,player,,Stoney,Harry,Henges,,,
,Frankfort,1916,,Ohio State League,,data/QYLBHWL,,,data/blau/blau-20170115,,player,,Stoney,Harry,Henges,,,
,New Orleans,1896,,Southern Association,,data/SKSYJHN,,,data/blau/blau-20170115,,player,,Joseph,,Hennessey,,,
,Red Cloud,1910,,Nebraska State League,,data/GMDGFXH,,,data/blau/blau-20170521,,player,,,,Hennessey,,,
,York,1911,,Nebraska State League,,data/CXDTFHP,,,data/blau/blau-20170521,,player,,,,Hennessey,,,
,Lima,1915,,Buckeye League,,data/RYCYCWJ,,P,data/morris/1915Buckeye/LimaNews/8,,player,,Emmett,,Hennessy,,,
,Sioux City,1915,,Western League,,data/RYCYCWJ,,P,data/morris/1915Buckeye/LimaNews/8,,player,,Emmett,,Hennessy,,,
,Fort Dodge,1916,,Central Association,,data/GQCLPSW,,,data/blau/blau-20170115,,player,,A.,,Henning,,,
,Kansas City,1915,,Federal League,,data/VPJDGBM,,,data/blau/blau-20170115,,player,,Pete,,Henning,,,
,Topeka,1916,,Western League,,data/VPJDGBM,,,data/blau/blau-20170115,,player,,Pete,,Henning,,,
,Henryetta,1920,,Western Association,,data/ZZNLMKQ,,,data/blau/blau-20170115,,player,,Leroy,Leroy,Henninger,,Dutch,
,Henryetta,1921,,Western Association,,data/ZZNLMKQ,,,data/blau/blau-20170115,,player,,Leroy,Leroy,Henninger,,Dutch,
,Henryetta,1922,,Western Association,,data/ZZNLMKQ,,,data/blau/blau-20170115,,player,,Leroy,Leroy,Henninger,,Dutch,
,Flint,1923,,Michigan-Ontario League,,data/ZZNLMKQ,,,data/blau/blau-20170115,,player,,Leroy,Leroy,Henninger,,Dutch,
,Henryetta,1923,,Western Association,,data/ZZNLMKQ,,,data/blau/blau-20170115,,player,,Leroy,Leroy,Henninger,,Dutch,
,Davenport,1909,,Illinois-Indiana-Iowa League,,data/NNKYXKZ,,,data/blau/blau-20170115,,player,,George,,Henrichsen,,,
,Galveston,1910,,Texas League,,data/NNKYXKZ,,,data/blau/blau-20170115,,player,,George,,Henrichsen,,,
,Cedar Rapids,1920,,Illinois-Indiana-Iowa League,,data/PWMZWTZ,,,data/blau/blau-20170731,,player,,Henry,,Henrion,,,
,Newark,1914,,Atlantic League,,data/ZQKXJTR,,,data/blau/blau-20180331,,player,,Dick,,Henriquez,,Doc,
,Hartford,1914,,Eastern Association,,data/JHGYJGD,,,data/blau/blau-20180331,,player,,Dave,,Henry,,,
,Chickasa,1921,,Western Association,,data/DRSQKFD,,,data/blau/blau-20170521,,player,,Walter,,Henry,,,
,Dyersburg,1925,,Tri-State League,,data/DRHXBSL,,,data/blau/blau-20171223,,player,,Sid,,Hensick,,,
,Monroe,1926,,Cotton States League,,data/DRHXBSL,,,data/blau/blau-20171223,,player,,Sid,,Hensick,,,
,Tacoma,1913,,Northwestern League,,data/CMQXHLQ,,,data/blau/blau-20170115,,player,,Whitey,,Hensling,,,
,Cedar Rapids,1914,,Central Association,,data/CMQXHLQ,,,data/blau/blau-20170115,,player,,Whitey,,Hensling,,,
,Keokuk,1914,,Central Association,,data/CMQXHLQ,,,data/blau/blau-20170115,,player,,Whitey,,Hensling,,,
