date,height,meta,person,place,source,throws,weight
1915,,,_subject,"US, SC,",data/morris/1915SouthAtlantic/ColumbiaState/31,,
1915,,,_subject,"US, SC, Graniteville",data/morris/1915SouthAtlantic/ColumbiaState/32,,
1915,,,_subject,"US, MI, Boyne City",data/morris/1915SouthAtlantic/ColumbiaState/42,,
1915,,,_subject,"US, MI, Jackson",data/morris/1915SouthAtlantic/ColumbiaState/43,,
1915,,,_subject,"US, SC, Carlisle",data/morris/1915SouthAtlantic/ColumbiaState/44,,
1915,,,_subject,"US, SC, Union",data/morris/1915SouthAtlantic/ColumbiaState/45,,
1915,,,_subject,"US, TX, Texarkana",data/morris/1915SouthAtlantic/ColumbiaState/46,,
1915,,,_subject,"US, IL, Sibley",data/morris/1915SouthAtlantic/ColumbiaState/47,,
1915,,,_subject,"US, PA, Pittsburgh",data/morris/1915SouthAtlantic/ColumbiaState/48,,
1915,,,_subject,"US, FL, Dunedin",data/morris/1915SouthAtlantic/ColumbiaState/49,,
1915,,,_subject,"US, FL, Tampa",data/morris/1915SouthAtlantic/ColumbiaState/50,,
1915,,,_subject,"US, NC, Pinehurst",data/morris/1915SouthAtlantic/ColumbiaState/51,,
1915,,,_subject,"US, OH, Sandusky",data/morris/1915SouthAtlantic/ColumbiaState/52,,
1915,,,_subject,"US, SC, Piedmont",data/morris/1915SouthAtlantic/ColumbiaState/53,,
1915,,,_subject,"US, IN, Whiting",data/morris/1915SouthAtlantic/ColumbiaState/54,,
1915,,,_subject,"US, MI, Flint",data/morris/1915SouthAtlantic/ColumbiaState/55,,
1915,,,_subject,"US, NC, Greensboro",data/morris/1915SouthAtlantic/ColumbiaState/56,,
1915,,,_subject,"US, MO, St. Louis",data/morris/1915SouthAtlantic/ColumbiaState/57,,
1915,,,_subject,"US, IA, Clinton",data/morris/1915SouthAtlantic/ColumbiaState/58,,
1915,,,_subject,"US, SC, Bishopville",data/morris/1915SouthAtlantic/ColumbiaState/59,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915SouthAtlantic/ColumbiaState/60,,
1915,,,_subject,"US, SC, Graniteville",data/morris/1915SouthAtlantic/ColumbiaState/61,,
1915,,,_subject,"US, FL, Jacksonville",data/morris/1915SouthAtlantic/ColumbiaState/62,,
1915,,,_subject,"US, NC, Lumberton",data/morris/1915SouthAtlantic/ColumbiaState/63,,
1915,,,_subject,"US, IN, Elkhart",data/morris/1915SouthAtlantic/ColumbiaState/65,,
1915,,,_subject,"US, IN, Elkhart",data/morris/1915SouthAtlantic/ColumbiaState/66,,
1915,,,_subject,"US, WI,",data/morris/1915SouthAtlantic/ColumbiaState/67,,
1915,,,_subject,"US, IN, Elkhart",data/morris/1915SouthAtlantic/ColumbiaState/68,,
1915,,,_subject,"US, TX, Texarkana",data/morris/1915SouthAtlantic/ColumbiaState/70,,
1915,,,_subject,"US, SC, Greenwood",data/morris/1915SouthAtlantic/ColumbiaState/75,,
1915,,,_subject,"US, SC, St. Matthews",data/morris/1915SouthAtlantic/ColumbiaState/76,,
1915,,,_subject,"US, SC, Graniteville",data/morris/1915SouthAtlantic/ColumbiaState/77,,
1915,,,_subject,"US, CA,",data/morris/1915SouthAtlantic/ColumbiaState/97,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915SouthAtlantic/ColumbiaState/98,,
1915,,,_subject,"US, OH, Sandusky",data/morris/1915SouthAtlantic/ColumbiaState/99,,
1915,,,_subject,"US, NC, China Grove",data/morris/1915SouthAtlantic/ColumbiaState/101,,
1915,,,_subject,"US, TX,",data/morris/1915SouthAtlantic/ColumbiaState/105,,
1915,,,_subject,"CU, ,",data/morris/1915SouthAtlantic/ColumbiaState/106,,
1915,,,_subject,"US, IL, Siblie",data/morris/1915SouthAtlantic/ColumbiaState/107,,
1915,,,_subject,"US, NC,",data/morris/1915SouthAtlantic/ColumbiaState/109,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915SouthAtlantic/ColumbiaState/110,,
1915,,,_subject,"US, OH, Sandusky",data/morris/1915SouthAtlantic/ColumbiaState/111,,
1915,,,_subject,"US, MI, Jackson",data/morris/1915SouthAtlantic/ColumbiaState/112,,
1915,,,_subject,"US, IN, Elkhart",data/morris/1915SouthAtlantic/ColumbiaState/114,,
1915,,,_subject,"US, FL, Jacksonville",data/morris/1915SouthAtlantic/ColumbiaState/115,,
1915,,,_subject,"US, OH, Toronto",data/morris/1915SouthAtlantic/ColumbiaState/117,,
1915,,,_subject,"US, NC, Asheville",data/morris/1915SouthAtlantic/ColumbiaState/118,,
1915,,,_subject,"US, SC, Greenwood",data/morris/1915SouthAtlantic/ColumbiaState/119,,
1915,,,_subject,"US, SC, Piedmont",data/morris/1915SouthAtlantic/ColumbiaState/120,,
1915,,,_subject,"US, NC, Greensboro",data/morris/1915SouthAtlantic/ColumbiaState/124,,
1915,,,_subject,"US, SC, Ulmer",data/morris/1915SouthAtlantic/ColumbiaState/125,,
1915,,,_subject,"US, SC, Bishopville",data/morris/1915SouthAtlantic/ColumbiaState/126,,
1915,,,_subject,"US, PA, Philadelphia",data/morris/1915SouthAtlantic/ColumbiaState/129,,
1915,,,_subject,"US, SC, Lamar",data/morris/1915SouthAtlantic/ColumbiaState/131,,
